 Date = 2010.000     Altitude =   565.000 km      geodetic  

      Lat     Long       D       I       H       X       Y       Z       F
  -65.000  270.000   29.38  -62.53   15945   13893    7823  -30668   34566
  -65.000  275.000   26.66  -61.74   15968   14270    7165  -29707   33727
  -65.000  280.000   23.82  -61.06   15932   14575    6435  -28816   32927
  -65.000  285.000   20.89  -60.51   15841   14800    5648  -28007   32176
  -65.000  290.000   17.90  -60.09   15700   14940    4825  -27286   31481
  -65.000  295.000   14.88  -59.80   15515   14995    3984  -26659   30845
  -65.000  300.000   11.86  -59.65   15297   14970    3145  -26125   30274
  -65.000  305.000    8.88  -59.62   15053   14872    2325  -25680   29767
  -65.000  310.000    5.96  -59.70   14793   14713    1537  -25318   29323
  -65.000  315.000    3.12  -59.87   14529   14507     790  -25031   28942
  -65.000  320.000    0.35  -60.10   14268   14267      87  -24810   28620
  -65.000  325.000   -2.35  -60.37   14020   14008    -574  -24648   28356
  -65.000  330.000   -4.99  -60.66   13793   13741   -1199  -24538   28148
  -65.000  335.000   -7.59  -60.95   13594   13475   -1796  -24475   27997
  -65.000  340.000  -10.20  -61.23   13428   13216   -2377  -24459   27903
  -65.000  345.000  -12.83  -61.50   13299   12967   -2953  -24492   27869
  -65.000  350.000  -15.53  -61.74   13210   12727   -3536  -24577   27902
  -65.000  355.000  -18.32  -61.97   13160   12493   -4135  -24721   28006
  -60.000    0.000  -21.12  -61.43   12328   11500   -4442  -22635   25775
  -60.000    5.000  -23.83  -61.63   12379   11323   -5001  -22923   26052
  -60.000   10.000  -26.71  -61.83   12478   11146   -5609  -23303   26433
  -60.000   15.000  -29.75  -62.06   12617   10954   -6261  -23790   26929
  -60.000   20.000  -32.92  -62.35   12786   10733   -6948  -24400   27547
  -60.000   25.000  -36.18  -62.71   12971   10470   -7656  -25144   28292
  -60.000   30.000  -39.48  -63.19   13156   10154   -8365  -26029   29165
  -60.000   35.000  -42.79  -63.78   13323    9777   -9051  -27057   30159
  -60.000   40.000  -46.06  -64.51   13456    9338   -9688  -28225   31268
  -60.000   45.000  -49.24  -65.37   13534    8837  -10251  -29523   32477
  -60.000   50.000  -52.31  -66.36   13543    8281  -10716  -30938   33772
  -60.000   55.000  -55.23  -67.46   13466    7680  -11061  -32451   35134
  -60.000   60.000  -57.97  -68.67   13292    7049  -11269  -34040   36543
  -60.000   65.000  -60.52  -69.97   13011    6403  -11326  -35679   37978
  -60.000   70.000  -62.85  -71.33   12617    5758  -11227  -37343   39417
  -60.000   75.000  -64.92  -72.75   12109    5133  -10968  -39005   40841
  -60.000   80.000  -66.70  -74.21   11487    4543  -10551  -40635   42227
  -60.000   85.000  -68.14  -75.70   10757    4005   -9983  -42207   43556
  -60.000   90.000  -69.16  -77.20    9927    3531   -9278  -43696   44809
